"Sample","Time point","Duration","Model","Regression","Dependent variable","Level","Independent variable","Estimate","95% CI low","95% CI up","SE","z score","p value"
"Full sample","t1","cross-sectional","Sensitivitaet_Multinom_Depression","Multinomial","gender","Cis man","pc3",0.99,0.96,1.03,0.02,-0.3,"0.76"
"Full sample","t1","cross-sectional","Sensitivitaet_Multinom_Depression","Multinomial","gender","Cis man","pc4",0.99,0.96,1.02,0.02,-0.49,"0.62"
"Full sample","t1","cross-sectional","Sensitivitaet_Multinom_Depression","Multinomial","gender","Cis man","pc5",1.38,1.14,1.67,0.1,3.33,"8.67e-04"
"Full sample","t1","cross-sectional","Sensitivitaet_Multinom_Depression","Multinomial","gender","Cis man","pc6",1,0.95,1.06,0.03,0.06,"0.95"
"Full sample","t1","cross-sectional","Sensitivitaet_Multinom_Depression","Multinomial","gender","Cis man","batchb02",1.25,1.07,1.46,0.08,2.79,"0.005"
"Full sample","t1","cross-sectional","Sensitivitaet_Multinom_Depression","Multinomial","gender","Cis man","batchb03",0.84,0.74,0.95,0.07,-2.7,"0.007"
"Full sample","t1","cross-sectional","Sensitivitaet_Multinom_Depression","Multinomial","gender","Cis man","batchb04",0.92,0.83,1.03,0.06,-1.47,"0.14"
"Full sample","t1","cross-sectional","Sensitivitaet_Multinom_Depression","Multinomial","gender","Cis man","batchb05",0.79,0.68,0.91,0.07,-3.21,"0.001"
"Full sample","t1","cross-sectional","Sensitivitaet_Multinom_Depression","Multinomial","gender","Cis man","batchb06",0.84,0.75,0.95,0.06,-2.7,"0.007"
"Full sample","t1","cross-sectional","Sensitivitaet_Multinom_Depression","Multinomial","gender","Cis man","batchb07",1.11,0.95,1.31,0.08,1.29,"0.20"
"Full sample","t1","cross-sectional","Sensitivitaet_Multinom_Depression","Multinomial","gender","Cis man","batchb08",0.46,0.42,0.5,0.05,-17.11,"1.23e-65"
"Full sample","t1","cross-sectional","Sensitivitaet_Multinom_Depression","Multinomial","gender","Cis man","batchb09",0.42,0.39,0.46,0.05,-18.77,"1.22e-78"
"Full sample","t1","cross-sectional","Sensitivitaet_Multinom_Depression","Multinomial","gender","Cis man","batchb10",0.98,0.86,1.11,0.06,-0.34,"0.73"
"Full sample","t1","cross-sectional","Sensitivitaet_Multinom_Depression","Multinomial","gender","Cis man","batchb11",0.68,0.54,0.86,0.12,-3.19,"0.001"
"Full sample","t1","cross-sectional","Sensitivitaet_Multinom_Depression","Multinomial","gender","Cis man","batchb12",0.25,0.23,0.28,0.05,-26.57,"1.57e-155"
"Full sample","t1","cross-sectional","Sensitivitaet_Multinom_Depression","Multinomial","gender","Cis man","batchb15",0.89,0.76,1.03,0.08,-1.58,"0.12"
"Full sample","t1","cross-sectional","Sensitivitaet_Multinom_Depression","Multinomial","gender","Cis man","batchb16",0.28,0.26,0.31,0.05,-24.76,"2.52e-135"
